country,country_name,date,variable,value
EU,European Union,2019-08-19,Euro 95,1.41
EU,European Union,2019-08-12,Euro 95,1.42
EU,European Union,2019-08-05,Euro 95,1.44
EU,European Union,2019-07-29,Euro 95,1.44
EU,European Union,2019-07-22,Euro 95,1.44
EU,European Union,2019-07-15,Euro 95,1.45
EU,European Union,2019-07-08,Euro 95,1.44
EU,European Union,2019-07-01,Euro 95,1.44
EU,European Union,2019-06-24,Euro 95,1.44
EU,European Union,2019-06-17,Euro 95,1.44
EU,European Union,2019-06-10,Euro 95,1.46
EU,European Union,2019-06-03,Euro 95,1.49
EU,European Union,2019-05-27,Euro 95,1.49
EU,European Union,2019-05-20,Euro 95,1.49
EU,European Union,2019-05-13,Euro 95,1.48
EU,European Union,2019-05-06,Euro 95,1.49
EU,European Union,2019-04-29,Euro 95,1.48
EU,European Union,2019-04-15,Euro 95,1.45
EU,European Union,2019-04-08,Euro 95,1.43
EU,European Union,2019-04-01,Euro 95,1.41
EU,European Union,2019-03-25,Euro 95,1.4
EU,European Union,2019-03-18,Euro 95,1.38
EU,European Union,2019-03-11,Euro 95,1.37
EU,European Union,2019-03-04,Euro 95,1.37
EU,European Union,2019-02-25,Euro 95,1.36
EU,European Union,2019-02-18,Euro 95,1.35
EU,European Union,2019-02-11,Euro 95,1.34
EU,European Union,2019-02-04,Euro 95,1.34
EU,European Union,2019-01-28,Euro 95,1.34
EU,European Union,2019-01-21,Euro 95,1.34
EU,European Union,2019-01-14,Euro 95,1.33
EU,European Union,2019-01-07,Euro 95,1.33
EU,European Union,2018-12-17,Euro 95,1.36
EU,European Union,2018-12-10,Euro 95,1.38
EU,European Union,2018-12-03,Euro 95,1.4
EU,European Union,2018-11-26,Euro 95,1.42
EU,European Union,2018-11-19,Euro 95,1.44
EU,European Union,2018-11-12,Euro 95,1.47
EU,European Union,2018-11-05,Euro 95,1.48
EU,European Union,2018-10-29,Euro 95,1.48
EU,European Union,2018-10-22,Euro 95,1.48
EU,European Union,2018-10-15,Euro 95,1.49
EU,European Union,2018-10-08,Euro 95,1.49
EU,European Union,2018-10-01,Euro 95,1.48
EU,European Union,2018-09-24,Euro 95,1.48
EU,European Union,2018-09-17,Euro 95,1.48
